timestamp,node_1,node_2,node_3
2023-01-01 00:00:00,104,93,83
2023-01-01 01:00:00,98,89,88
2023-01-01 02:00:00,106,80,82
2023-01-01 03:00:00,115,73,86
2023-01-01 04:00:00,97,86,71
2023-01-01 05:00:00,97,83,92
2023-01-01 06:00:00,115,88,90
2023-01-01 07:00:00,107,86,81
2023-01-01 08:00:00,95,90,96
2023-01-01 09:00:00,105,74,99
2023-01-01 10:00:00,95,93,73
2023-01-01 11:00:00,95,81,82
2023-01-01 12:00:00,102,100,82
2023-01-01 13:00:00,80,73,80
2023-01-01 14:00:00,82,97,98
2023-01-01 15:00:00,94,81,88
2023-01-01 16:00:00,89,73,87
2023-01-01 17:00:00,103,75,69
2023-01-01 18:00:00,90,76,96
2023-01-01 19:00:00,85,84,77
2023-01-01 20:00:00,114,85,90
2023-01-01 21:00:00,97,74,92
2023-01-01 22:00:00,100,79,103
2023-01-01 23:00:00,85,101,76
2023-01-02 00:00:00,94,97,59
2023-01-02 01:00:00,101,84,91
2023-01-02 02:00:00,88,80,108
2023-01-02 03:00:00,103,81,102
2023-01-02 04:00:00,93,86,92
2023-01-02 05:00:00,97,69,85
2023-01-02 06:00:00,93,77,98
2023-01-02 07:00:00,118,63,80
2023-01-02 08:00:00,99,83,94
2023-01-02 09:00:00,89,86,95
2023-01-02 10:00:00,108,75,100
2023-01-02 11:00:00,87,95,117
2023-01-02 12:00:00,102,67,93
2023-01-02 13:00:00,80,65,84
2023-01-02 14:00:00,86,82,89
2023-01-02 15:00:00,101,90,72
2023-01-02 16:00:00,107,96,83
2023-01-02 17:00:00,101,75,85
2023-01-02 18:00:00,98,90,84
2023-01-02 19:00:00,96,79,91
2023-01-02 20:00:00,85,78,81
2023-01-02 21:00:00,92,88,101
2023-01-02 22:00:00,95,86,90
2023-01-02 23:00:00,110,64,89
2023-01-03 00:00:00,103,94,86
2023-01-03 01:00:00,82,93,91
2023-01-03 02:00:00,103,73,98
2023-01-03 03:00:00,96,83,81
2023-01-03 04:00:00,93,84,83
2023-01-03 05:00:00,106,82,86
2023-01-03 06:00:00,110,74,76
2023-01-03 07:00:00,109,73,81
2023-01-03 08:00:00,91,79,85
2023-01-03 09:00:00,96,91,98
2023-01-03 10:00:00,103,85,92
2023-01-03 11:00:00,109,76,91
2023-01-03 12:00:00,95,87,98
2023-01-03 13:00:00,98,51,88
2023-01-03 14:00:00,88,91,93
2023-01-03 15:00:00,88,62,88
2023-01-03 16:00:00,108,76,92
2023-01-03 17:00:00,113,68,84
2023-01-03 18:00:00,99,67,65
2023-01-03 19:00:00,110,91,88
2023-01-03 20:00:00,103,75,104
2023-01-03 21:00:00,93,83,99
2023-01-03 22:00:00,103,79,99
2023-01-03 23:00:00,115,84,102
2023-01-04 00:00:00,99,80,90
2023-01-04 01:00:00,115,67,91
2023-01-04 02:00:00,73,89,83
2023-01-04 03:00:00,108,75,86
2023-01-04 04:00:00,100,64,96
2023-01-04 05:00:00,97,75,102
2023-01-04 06:00:00,100,95,88
2023-01-04 07:00:00,80,88,85
2023-01-04 08:00:00,97,76,90
2023-01-04 09:00:00,103,76,96
2023-01-04 10:00:00,114,76,75
2023-01-04 11:00:00,94,100,67
